Cue,Response,Correct,Reaction Time,Game Time
triangle,right,True,0.499,0.5
circle,left,True,0.463,1.49
square,right,True,0.431,2.48
circle,left,True,0.664,3.74
circle,left,True,0.429,4.53
circle,left,True,0.33,5.46
triangle,right,True,0.463,6.62
circle,right,False,0.364,7.54
triangle,right,True,0.364,8.57
hexagon,right,True,0.396,9.63
hexagon,right,True,0.334,10.59
square,right,True,0.331,11.62
circle,left,True,0.53,12.84
hexagon,right,True,0.396,13.74
triangle,right,True,0.466,14.83
hexagon,right,True,0.401,15.77
square,right,True,0.33,16.73
triangle,right,True,0.332,17.75
circle,left,True,0.465,18.91
hexagon,right,True,0.331,19.81
circle,left,True,0.365,20.87
circle,right,False,0.264,21.8
square,right,True,0.331,22.89
triangle,left,False,0.694,24.28
circle,left,True,0.4,25.01
triangle,right,True,0.496,26.14
hexagon,right,True,0.334,27.0
hexagon,right,True,0.33,28.02
circle,left,True,0.53,29.25
square,right,True,0.464,30.21
circle,left,True,0.432,31.21
square,right,True,0.365,32.17
hexagon,left,False,0.529,33.36
circle,left,True,0.365,34.22
hexagon,right,True,0.301,35.19
hexagon,right,True,0.3,36.22
circle,left,True,0.431,37.38
circle,right,False,0.297,38.27
square,right,True,0.331,39.33
hexagon,right,True,0.331,40.36
square,left,False,0.33,41.38
hexagon,right,True,0.298,42.38
hexagon,right,True,0.297,43.4
circle,left,True,0.433,44.56
hexagon,right,True,0.398,45.56
circle,left,True,0.462,46.65
square,right,True,0.529,47.74
square,right,True,0.366,48.6
square,right,True,0.297,49.56
hexagon,right,True,0.299,50.59
triangle,right,True,0.363,51.68
hexagon,right,True,0.43,52.78
square,right,True,0.299,53.67
hexagon,right,True,0.267,54.67
circle,left,True,0.432,55.86
square,left,False,0.363,56.82
circle,right,False,0.43,57.91
square,right,True,0.331,58.83
triangle,right,True,0.332,59.86
